id,body,picture,actor,old_time,time,r5,r50,,,
291,I'm calling these my Cookie Monster Cookies! LOL,blue_cookies.jpeg,localewis,68:52:10,-7:21:28,0,0,,,
292,The grind never stops! lol this is what I do instead of studying,working_sloth.jpeg,jupiterpride,62:25:59,-19:48:53,0,0,,,
293,"Not quite as tasty as a regular cookie, but if these are healthy I feel a lot better about eating so many!",protein_cookie.jpeg,breathe_in,48:59:41,-16:36:03,0,0,,,
294,The best milkshakes are the ones that need an extra cup 😋 Thanks for a fun evening guys!,milkshake.jpeg,jackrussellmom,49:01:24,-3:37:14,0,0,,,
295,"I finally saved up for a new guitar, but now comes the hard part: PICKING ONE! Thoughts??",guitars.jpeg,lavenderrrrrr,70:56:00,-7:14:21,0,0,,,
296,"Luna is exactly my mood right now, look at her face LOL",dog_lounge.jpeg,tastyrobot,64:55:42,-13:01:13,0,0,,,
297,"🎵 Let the rain fall down upon her / She's a free and gentle flower, growing wild 🌻",wildflowers.jpeg,wiz_khaleesi,50:40:24,-4:00:04,0,0,,,
298,Take me to the lakes where all the poets went to die 🎵,lake.jpeg,Ataylor,61:03:29,-8:33:05,0,0,,,
299,"""Staring at the ceiling / Two weeks and I'll be home / Carry the feeling / Through Paris, all through Rome""",window.jpeg,cavsforever,48:04:26,-16:42:34,0,0,,,
300,SUSHI!!!!!!,sushi.jpeg,tacoguy,71:43:27,-16:00:48,0,0,,,
301,Most important meal of the Day!,breakfast.jpeg,Sue_S,57:39:53,-14:46:05,0,0,,,
302,Look at these two best friends! Too cute!,dog_and_cat.jpeg,karenM,50:39:31,-1:48:08,0,0,,,
303,"""Without music, life would be a blank to me."" -Jane Austen",record_player.jpeg,jake_turk,48:07:33,-13:59:31,0,0,,,
304,"I love this Game! (If I'm winning, LOL)",monopoly.jpeg,snowbird,53:20:54,-1:43:47,0,0,,,
305,Look at how clearly you could see the rainbow today! Hope this brightens your day like it brightened mine!,rainbow.jpeg,youngcunningham,66:13:07,-11:01:32,0,0,,,
306,"Cleo, what are you DOING??? 😂",cat_sink.jpeg,generic-joe,63:41:55,-20:57:03,0,0,,,
307,"Yer a wizard, Harry!!",hogwarts.jpeg,Smitty12,68:18:08,-1:11:03,0,0,,,
308,You could say Sam and I both have a sweet tooth! Yum!,sweet_tooth.jpeg,hockeymom101,55:06:19,-9:05:49,0,0,,,
309,Love this goofball!!,cat_pic.jpeg,SamTHEMAN,71:24:36,-12:22:15,0,0,,,
310,"Today I got some new plants for my fish tank, it's like an underwater jungle in there now!",fish.jpeg,Marcymaniac,49:28:32,-2:54:52,0,0,,,
311,Check out these cool flowers I saw today. Does anyone know what type they are?,flowers_unique.jpeg,HP743,69:52:35,-20:56:02,0,0,,,
312,"It's been so long since I've been on a plane, but I'm so excited!",plane.jpeg,southerngirlCel,51:41:55,-2:30:29,0,0,,,
313,"Love this city, it's good to be home 💛",pittsburgh.jpg,BossmanRy,70:40:39,-7:51:08,0,0,,,
314,"Don't ask what this thing is, we don't even know 😂",two_dudes_being_bros.jpeg,TomM41,61:58:06,-9:26:32,0,0,,,
315,Girls night at the football game (during a pandemic 🙃 ),girls_football.jpeg,Lisa181818,51:23:54,-14:46:05,0,0,,,
316,This was such a fun adventure!,waterfall_thing.jpeg,BeardedMatt,64:03:24,-1:48:08,0,0,,,
317,the city at night >>> the city during the day,city_night.jpeg,MedicalRyan,57:50:15,-7:21:28,0,0,,,
318,"Visiting my brother for the weekend, and look at the view from his back porch!",porch_view.jpeg,this_jack,49:19:32,-19:48:53,0,0,,,
319,And we're off!!!,plane_in_air.jpeg,PatelS,66:50:32,-16:36:03,0,0,,,
320,"Ryan was excited about his presents, can you tell?",kid_presents.JPG,DonDonDonna,56:32:09,-3:37:14,0,0,,,
321,Lovely hike this morning :),rocks.HEIC,EmmaSmith0214,57:34:50,-7:14:21,0,0,,,
